1605790891:0;pip install /media/ramon/f9abf31d-9e05-4c6f-9dec-9bb9c0612a74/development/marmita-sdk/marmita-python/dist/marmita-1.0.0-py3-none-any.whl
1604689051:0;pip install microbit-dummy\
1583228313:0;pip install minio
1572360287:0;pip install mkdocs
1572360470:0;pip install mkdocs-material
1578925886:0;pip install mredu
1576744791:0;pip install mycli
1605615693:0;pip install mypy
1566374939:0;pip install nbconvert
1566298391:0;pip install neovim
1582189711:0;pip install nodejs
1573030183:0;pip install nose
1573030179:0;pip install nose2
1604571891:0;pip install numpy
1606814288:0;pip install numpy pyqrcode
1606475382:0;pip install orange3
1566289871:0;pip install p5
1600724459:0;pip install pandas
1566287459:0;pip install pandas numpy
1582029630:0;pip install pandas scikit-learn
1579691033:0;pip install parse
1566302279:0;pip install pdb
1566458550:0;pip install pika flasjk
1566458552:0;pip install pika flask
1606316515:0;pip install pip
1566464170:0;pip install pip-autoremove
1566463899:0;pip install pìp-autoremove
1587455940:0;pip install plotly
1589214152:0;pip install podium
1589214006:0;pip install podium==0.0.0
1589214001:0;pip install podium=0.0.0
1589993355:0;pip install ppb
1604590560:0;pip install pre-commit
1606481758:0;pip install psdash 
1606481778:0;pip install psdash --allow-external argparse
1606481263:0;pip install psutil
1606481259:0;pip install psutils
1606413524:0;pip install ptipython
1606468957:0;pip install ptpython
1582029679:0;pip install py4j
1572335875:0;pip install pyasn1
1587455905:0;pip install pycontry
1587455910:0;pip install pycountry
1605526398:0;pip install pygame==2.0.0
1571918630:0;pip install pygmentize
1571919219:0;pip install pygments
1600774418:0;pip install pygments
1571668864:0;pip install pygme nts
1594723061:0;pip install pygments-style-darcula
1594723103:0;pip install pygments-style-dracula
1582974886:0;pip install PyGObject
1591877368:0;pip install pygost
1605625838:0;pip install pylama
1566287687:0;pip install pylint
1573037320:0;pip install pylint falke8
1573037326:0;pip install pylint flake8
1566303217:0;pip install PyPDF2\
1583739233:0;pip install pyqt5
1606837087:0;pip install pyspark==
1606837927:0;pip install pyspark==2.3
1606838225:0;pip install pyspark==2.3.0
1606837645:0;pip install pyspark==3.0
1575981618:0;pip install pytest
1606477944:0;pip install pytest
1591879379:0;pip install python
1572436765:0;pip install python-gitlab
1566464195:0;pip install qpass
1604506856:0;pip install -r .
1571750395:0;pip install ranger
1571916963:0;pip install ranger-fm
1562585662:0;pip install renpy
1584558628:0;pip install requests
1585215632:0;pip install requests-toolbelt
1591719808:0;pip install -r /home/ramon/development/python-tools-venv/requirements.txt
1606468593:0;pip install rich
1583163193:0;pip install RISE
1606473987:0;pip install scoop
1604488705:0;pip install setuptools
1607620309:0;pip install shellingham 
1605615890:0;pip install sqlalchemy-stubs
1591877003:0;pip install ssss
1591879344:0;pip install ssss gost
1591879369:0;pip install ssss pygost
1606479751:0;pip install supersqlite
1573040202:0;pip install --target build/test_env bpython
1573040219:0;pip install --target build/test_env --upgrade bpython
1569585553:0;pip install thefuck
1606210427:0;pip install thespian
1581502165:0;pip install thonny
1581501929:0;pip install thony
1566218044:0;pip install thriftpy
1606478042:0;pip install tinydb
1584540628:0;pip install treq
1566286309:0;pip install trial
1572335836:0;pip install twisted
1584540596:0;pip install twisted
1607620097:0;pip install typer
1584540744:0;pip install -U
1584540722:0;pip install -U --all
1606480280:0;pip install -U arrow
1584540615:0;pip install -U attrs
1585304190:0;pip install -U bash_kernel
1591724195:0;pip install -U bpython
1589796449:0;pip install -U cheat
1604685794:0;pip install -U cheat
1584540651:0;pip install -U cryptography
1584540161:0;pip install -U deoplete
1569311477:0;pip install -U docker-compose
1601547652:0;pip install -U docker-compose
1606316647:0;pip install -U glances
1591721166:0;pip install -U litecli
1605790933:0;pip install -U /media/ramon/f9abf31d-9e05-4c6f-9dec-9bb9c0612a74/development/marmita-sdk/marmita-python/dist/marmita-1.0.0-py3-none-any.whl
